Date, UserID, Scenario, Branch, Variable, Action, NewValue, OldValue, ChangeID, ScenarioID, BranchID, VariableID, NewValue, OldValue
2015/01/03 13:04:20,AMA,Current Accounts,Supply and Resources\River\Bear\Reservoirs,,Delete Branch,,,   19,1,96,0,,
2015/01/03 13:04:21,AMA,Current Accounts,Supply and Resources\River\Bear\Run of River Hydro,,Delete Branch,,,   19,1,97,0,,
2015/01/03 13:04:21,AMA,Current Accounts,Supply and Resources\River\Bear\Withdrawals,,Delete Branch,,,   19,1,98,0,,
2015/01/03 13:04:21,AMA,Current Accounts,Supply and Resources\River\Bear\Diversions,,Delete Branch,,,   19,1,99,0,,
2015/01/03 13:04:21,AMA,Current Accounts,Supply and Resources\River\Bear\Tributary Inflow,,Delete Branch,,,   19,1,100,0,,
2015/01/03 13:04:21,AMA,Current Accounts,Supply and Resources\River\Bear\Flow Requirements,,Delete Branch,,,   19,1,101,0,,
2015/01/03 13:04:21,AMA,Current Accounts,Supply and Resources\River\Bear\Reaches,,Delete Branch,,,   19,1,102,0,,
2015/01/03 13:04:21,AMA,Current Accounts,Supply and Resources\River\Bear\Other Surface Inflow,,Delete Branch,,,   19,1,103,0,,
2015/01/03 13:04:21,AMA,Current Accounts,Supply and Resources\River\Bear\Streamflow Gauges,,Delete Branch,,,   19,1,104,0,,
2015/01/03 13:04:21,AMA,Current Accounts,Supply and Resources\River\Bear,,Delete Branch,,,   19,1,95,0,,
2015/01/03 13:04:26,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 13:05:16,AMA,Current Accounts,,,Delete River,0,0,   13,1,14,6,0,0
2015/01/03 13:07:09,AMA,Current Accounts,Bear,,Create River,,,   5,1,14,6,,
2015/01/03 13:07:09,AMA,Current Accounts,Below Bear Headflow,,Create River Reach,,,   5,1,15,16,,
2015/01/03 13:10:13,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 13:11:12,AMA,Current Accounts,Cub River,,Create River,,,   5,1,17,6,,
2015/01/03 13:11:12,AMA,Current Accounts,Below Cub River Headflow,,Create River Reach,,,   5,1,18,16,,
2015/01/03 13:11:15,AMA,Current Accounts,Cub River Inflow,,Create Tributary Inflow,,,   5,1,19,13,,
2015/01/03 13:11:16,AMA,Current Accounts,Below Cub River Inflow,,Create River Reach,,,   5,1,20,16,,
2015/01/03 13:11:16,AMA,Current Accounts,Cub River,,Connect tailflow,Cub River Inflow,,   9,1,17,0,19,0
2015/01/03 13:11:39,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 13:11:39,AMA,Current Accounts,Below Cub River Inflow,,Delete River Reach,0,0,   13,1,20,16,0,0
2015/01/03 13:11:39,AMA,Current Accounts,Supply and Resources\River\Bear\Reaches\Below Cub River Inflow,,Delete Branch,,,   19,1,118,0,,
2015/01/03 13:11:39,AMA,Current Accounts,Below Cub River Inflow,,Create River Reach,,,   5,1,21,16,,
2015/01/03 13:13:58,AMA,Current Accounts,Newton Creek,,Create River,,,   5,1,22,6,,
2015/01/03 13:13:58,AMA,Current Accounts,Below Newton Creek Headflow,,Create River Reach,,,   5,1,23,16,,
2015/01/03 13:13:59,AMA,Current Accounts,Newton Creek Inflow,,Create Tributary Inflow,,,   5,1,24,13,,
2015/01/03 13:13:59,AMA,Current Accounts,Below Newton Creek Inflow,,Create River Reach,,,   5,1,25,16,,
2015/01/03 13:13:59,AMA,Current Accounts,Newton Creek,,Connect tailflow,Newton Creek Inflow,,   9,1,22,0,24,0
2015/01/03 13:16:09,AMA,Current Accounts,Malad River,,Create River,,,   5,1,26,6,,
2015/01/03 13:16:09,AMA,Current Accounts,Below Malad River Headflow,,Create River Reach,,,   5,1,27,16,,
2015/01/03 13:16:10,AMA,Current Accounts,Malad River Inflow,,Create Tributary Inflow,,,   5,1,28,13,,
2015/01/03 13:16:10,AMA,Current Accounts,Below Malad River Inflow,,Create River Reach,,,   5,1,29,16,,
2015/01/03 13:16:10,AMA,Current Accounts,Malad River,,Connect tailflow,Malad River Inflow,,   9,1,26,0,28,0
2015/01/03 13:16:17,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 13:16:17,AMA,Current Accounts,Below Newton Creek Inflow,,Delete River Reach,0,0,   13,1,25,16,0,0
2015/01/03 13:16:17,AMA,Current Accounts,Supply and Resources\River\Bear\Reaches\Below Newton Creek Inflow,,Delete Branch,,,   19,1,131,0,,
2015/01/03 13:16:17,AMA,Current Accounts,Below Malad River Inflow,,Delete River Reach,0,0,   13,1,29,16,0,0
2015/01/03 13:16:17,AMA,Current Accounts,Supply and Resources\River\Bear\Reaches\Below Malad River Inflow,,Delete Branch,,,   19,1,144,0,,
2015/01/03 13:16:18,AMA,Current Accounts,Below Newton Creek Inflow,,Create River Reach,,,   5,1,32,16,,
2015/01/03 13:16:18,AMA,Current Accounts,Below Malad River Inflow,,Create River Reach,,,   5,1,33,16,,
2015/01/03 13:17:31,AMA,Current Accounts,Blacksmith Fork Inflow,,Create Tributary Inflow,,,   5,1,34,13,,
2015/01/03 13:17:31,AMA,Current Accounts,Below Blacksmith Fork Inflow,,Create River Reach,,,   5,1,35,16,,
2015/01/03 13:17:31,AMA,Current Accounts,Blacksmith Fork,,Connect tailflow,Blacksmith Fork Inflow,,   9,1,2,0,34,0
2015/01/03 13:18:20,AMA,Current Accounts,Little Bear River,,Create River,,,   5,1,36,6,,
2015/01/03 13:18:20,AMA,Current Accounts,Below Little Bear River Headflow,,Create River Reach,,,   5,1,37,16,,
2015/01/03 13:18:23,AMA,Current Accounts,Little Bear River,,Connect tailflow,Newton Creek Inflow,,   9,1,36,0,24,0
2015/01/03 13:18:33,AMA,Current Accounts,Logan River Inflow,,Create Tributary Inflow,,,   5,1,38,13,,
2015/01/03 13:18:33,AMA,Current Accounts,Below Logan River Inflow,,Create River Reach,,,   5,1,39,16,,
2015/01/03 13:18:33,AMA,Current Accounts,Logan River,,Connect tailflow,Logan River Inflow,,   9,1,9,0,38,0
2015/01/03 13:19:04,AMA,Current Accounts,South Fork Little Bear River Inflow,,Create Tributary Inflow,,,   5,1,40,13,,
2015/01/03 13:19:04,AMA,Current Accounts,Below South Fork Little Bear River Inflow,,Create River Reach,,,   5,1,41,16,,
2015/01/03 13:19:04,AMA,Current Accounts,South Fork Little Bear River,,Connect tailflow,South Fork Little Bear River Inflow,,   9,1,7,0,40,0
2015/01/03 13:19:09,AMA,Current Accounts,East Fort Little Bear River,,Connect tailflow,South Fork Little Bear River Inflow,,   9,1,5,0,40,0
