Date,Bear River Canal Company,Bird Refuge,Cache Valley New
Nov-92,0,0,0
Dec-92,0,0,0
Jan-93,0,0,0
Feb-93,0,0,0
Mar-93,0,0,0
Apr-93,0,0,0
May-93,0,0,0
Jun-93,0,0,0
Jul-93,0,588559038.4,0
Aug-93,0,1147662855,0
Sep-93,0,1202396209,0
Oct-93,0,0,0
Nov-93,0,0,0
Dec-93,0,0,0
Jan-94,0,0,0
Feb-94,0,0,0
Mar-94,0,0,0
Apr-94,0,0,0
May-94,0,251572433.3,203412.4803
Jun-94,0,1238538228,36444.73606
Jul-94,0,1347895002,0
Aug-94,0,1027734247,0
Sep-94,0,1947539067,125367.0669
Oct-94,0,465408991,0
Nov-94,0,0,0
Dec-94,0,0,0
Jan-95,0,0,0
Feb-95,0,0,0
Mar-95,0,0,0
Apr-95,0,0,0
May-95,0,0,0
Jun-95,0,0,0
Jul-95,0,809487593.4,0
Aug-95,0,1256855804,0
Sep-95,0,1413413880,216337.6483
Oct-95,0,0,0
Nov-95,0,0,0
Dec-95,0,0,0
Jan-96,0,0,0
Feb-96,0,0,0
Mar-96,0,0,0
Apr-96,0,0,0
May-96,0,0,0
Jun-96,0,0,0
Jul-96,0,971673873,33301.73072
Aug-96,0,1408638242,0
Sep-96,0,1056618289,109757.9842
Oct-96,0,210378863.4,0
Nov-96,0,0,0
Dec-96,0,0,0
Jan-97,0,0,0
Feb-97,0,0,0
Mar-97,0,0,0
Apr-97,0,0,0
May-97,0,0,0
Jun-97,0,0,0
Jul-97,0,0,0
Aug-97,0,0,0
Sep-97,0,0,0
Oct-97,0,0,0
Nov-97,0,0,0
Dec-97,0,0,0
Jan-98,0,0,0
Feb-98,0,0,0
Mar-98,0,0,0
Apr-98,0,0,0
May-98,0,0,0
Jun-98,0,0,0
Jul-98,0,0,0
Aug-98,0,0,0
Sep-98,0,0,0
Oct-98,0,0,0
Nov-98,0,0,0
Dec-98,0,0,0
Jan-99,0,0,0
Feb-99,0,0,0
Mar-99,0,0,0
Apr-99,0,0,0
May-99,0,0,0
Jun-99,0,0,0
Jul-99,0,0,0
Aug-99,0,0,0
Sep-99,0,0,0
Oct-99,0,0,0
Nov-99,0,0,0
Dec-99,0,0,0
Jan-00,0,0,0
Feb-00,0,0,0
Mar-00,0,0,0
Apr-00,0,0,0
May-00,0,0,0
Jun-00,0,587950213.5,0
Jul-00,0,1101011544,0
Aug-00,0,775693470.3,0
Sep-00,0,996558882.7,223153.379
Oct-00,0,154793577.9,0
Nov-00,0,0,0
Dec-00,0,0,0
1-Jan,0,0,0
1-Feb,0,0,0
1-Mar,0,0,0
1-Apr,0,0,0
1-May,0,546943034.4,0
1-Jun,0,968112600.8,0
1-Jul,0,985531207,0
1-Aug,0,929983249.2,0
1-Sep,532973611.7,2184760891,254089.0271
1-Oct,0,1229383572,0
1-Nov,0,0,0
1-Dec,0,0,0
2-Jan,0,0,0
2-Feb,0,0,0
2-Mar,0,0,0
