Year,Bear River at Idaho-Utah Stateline (ac-ft),Little Bear River Monthly Flow (It),Total Flow to Cutler/BRCC,Resevoir Release (Rt)
1986,126842.9752,6646.590708,133489.5659,126842.9752
1987,91100.82645,6337.190166,97438.01661,91100.82645
1987,70924.95868,5502.090829,76427.04951,70924.95868
1987,65446.61157,6908.491571,87229.17542,80320.68385
1987,41280,9153.142621,49768.49861,40615.35599
1987,54156.69421,5870.025173,58901.93722,53031.91204
1987,38003.30579,2208.5,45953,43744.5
1987,44687.60331,2946.880702,50966,48019.1193
1987,38586.44628,2255,47807,45552
1987,27635.70248,2191.5,35537,33345.5
1987,27968.92562,2776.643578,16691,13914.35642
1987,24860.82645,3843.079637,4576,732.9203632
1987,31332.89256,3681.391378,30655.25882,26973.86745
1988,46470.7438,3649.595211,50120.33901,46470.7438
1988,36388.76033,3473.094865,39861.8552,36388.76033
1988,33498.84298,4470.693533,52843.60878,48372.91525
1988,42878.67769,5801.038577,48015.07225,42214.03368
1988,21941.15702,4715.626836,34448,29732.37316
1988,29466.44628,2373.5,45953,43579.5
1988,41605.28926,2734,50966,48232
1988,38860.16529,526.679757,43198.67232,42671.99257
1988,35462.47934,717.669762,35537,34819.33024
1988,31412.2314,3144.683722,16691,13546.31628
1988,19527.27273,3372.971439,4576,1203.028561
1988,28407.27273,3145.793777,16944.96216,13799.16838
1989,28129.58678,3096.097065,31225.68384,28129.58678
1989,26786.77686,2939.491618,29726.26848,26786.77686
1989,52496.52893,9008.99243,76379.59363,67370.6012
1989,50451.57025,9684.743406,59471.66964,49786.92624
1989,33619.83471,6285.030396,38780.08293,32495.05254
1989,19834.71074,2107,45953,43846
1989,48577.19008,2270,50966,48696
1989,44856.19835,2190,47807,45617
1989,30767.60331,841.6012556,35537,34695.39874
1989,18680.33058,2361.500547,16691,14329.49945
1989,24489.91736,3323.876749,4576,1252.123251
1989,29555.70248,3202.789549,12711.31942,9508.529869
1990,34629.42149,3320.388948,37949.81044,34629.42149
1990,23462.47934,2750.992718,26213.47206,23462.47934
1990,35170.90909,5004.191387,55049.17275,50044.98137
1990,28413.22314,5080.14157,32828.7207,27748.57913
1990,38340.49587,3003.229601,40218.9433,37215.7137
1990,23821.4876,2122.5,45953,43830.5
1990,51760.66116,1176.587903,50966,49789.4121
1990,42384.79339,450.8375477,47807,47356.16245
1990,34331.90083,1711.605942,35537,33825.39406
1990,17393.05785,2315.591769,16691,14375.40823
1990,22563.96694,2484.478538,4576,2091.521462
1990,25783.1405,2456.087726,9759.530655,7303.442929
1991,30888.59504,2485.289611,33373.88465,30888.59504
1991,20191.73554,2423.788916,22615.52445,20191.73554
1991,21566.28099,3631.686559,40072.03983,36440.35327
1991,30168.59504,4843.140529,34347.09156,29503.95103
1991,54059.50413,7332.335426,60267.05739,52934.72196
1991,53928.59504,5636.627628,45953,40316.37237
1991,53674.71074,2637,50966,48329
1991,41024.13223,2285,47807,45522
1991,24928.26446,1202.5,35537,34334.5
1991,19902.14876,482.6823967,16691,16208.3176
1991,25485.61983,3720.078247,14661.21753,10941.13929
1991,30991.73554,3151.687661,34143.4232,30991.73554
1992,30573.22314,2957.384056,33530.6072,30573.22314
1992,31814.87603,3465.093127,35279.96916,31814.87603
1992,31979.50413,4091.89595,50945.47236,46853.57641
1992,23982.14876,4287.648029,27605.15278,23317.50475
1992,44423.80165,1746.5,45045.51948,43299.01948
1992,44701.4876,1973.762082,45953,43979.23792
1992,31929.91736,421.1249131,50966,50544.87509
1992,39310.41322,340.8197282,47807,47466.18027
1992,11434.71074,1625.608245,18108.47738,16482.86913
1992,15363.96694,1772.491829,16691,14918.50817
1992,17736.19835,2026.781547,4576,2549.218453
1992,25079.00826,1896.895131,1896.895131,0
1993,25319.00826,1358.991051,16028.50575,14669.51469
1993,19519.33884,1014.096679,20533.43552,19519.33884
1993,51645.61983,5470.083876,71989.77599,66519.69211
1993,58327.93388,7328.632819,64991.92269,57663.28987
1993,114874.7107,14668.60252,128418.5311,113749.9286
1993,65228.42975,7617.229701,56005.10681,48387.87711
1993,33572.2314,4396.346592,50966,46569.65341
1993,28351.73554,3837.144464,47807,43969.85554
1993,28405.28926,3432.904773,35537,32104.09523
1993,29452.56198,4394.487124,16691,12296.51288
1993,22811.90083,3844.279492,6086.50159,2242.222098
1993,27703.1405,3938.598212,31641.73871,27703.1405
1994,26483.30579,3836.188935,30319.49472,26483.30579
1994,26479.33884,2880.593312,29359.93216,26479.33884
1994,44255.20661,5911.995473,65041.27436,59129.27889
1994,31418.18182,9031.641051,39785.17886,30753.53781
1994,23642.97521,7301.928113,34448,27146.07189
1994,37719.66942,2197.5,45953,43755.5
1994,42906.44628,2310,50966,48656
1994,40994.38017,1684.5,47807,46122.5
1994,26322.64463,418.7333094,35537,35118.26669
1994,19205.95041,488.4560493,16691,16202.54395
1994,21734.87603,2839.781656,4576,1736.218344
1994,25136.52893,2709.589601,2709.589601,0
1995,29055.86777,2596.786982,29595.05701,26998.27003
1995,28998.34711,2802.489213,31800.83632,28998.34711
1995,53365.28926,7591.590311,75830.95184,68239.36153
1995,42458.18182,8696.143654,50489.68146,41793.53781
1995,67860.49587,9084.026615,75819.74031,66735.7137
1995,62501.15702,10206.60809,55867.21247,45660.60438
1995,24134.87603,6453.148455,50966,44512.85155
1995,34018.5124,4579.839611,47807,43227.16039
1995,29097.52066,4723.9109,35537,30813.0891
1995,24922.31405,5143.691409,16691,11547.30859
1995,31428.09917,4874.176969,13267.92906,8393.752087
1995,34016.52893,5253.193804,39269.72273,34016.52893
1996,27568.26446,5031.390811,32599.65527,27568.26446
1996,34663.1405,4963.290911,39626.43141,34663.1405
1996,45143.80165,6554.688273,66572.5622,60017.87393
1996,83863.1405,11152.44216,94350.93865,83198.49649
1996,91945.78512,15352.48903,106173.492,90821.00295
1996,68568.59504,9497.287466,61225.32986,51728.0424
1996,30357.02479,4613.150354,50966,46352.84965
1996,32608.26446,3240.540115,47807,44566.45989
1996,27552.39669,3490.108286,35537,32046.89171
1996,27631.73554,4497.285543,16691,12193.71446
1996,33443.30579,4405.576698,15522.11438,11116.53768
1996,43390.41322,5296.89124,48687.30446,43390.41322
1997,47781.81818,7617.395309,55399.21349,47781.81818
1997,35926.61157,6367.689192,42294.30076,35926.61157
1997,88357.68595,8836.188935,112067.9472,103231.7582
1997,126426.4463,12687.5274,138449.3297,125761.8023
1997,160026.4463,22497.09982,181398.7639,158901.6641
1997,144119.0083,12475.42119,139753.8768,127278.4556
1997,76958.67769,5587.94644,79839.17804,74251.2316
1997,92469.42149,4888.637806,94902.46866,90013.83086
1997,99649.58678,4949.715614,103340.0251,98390.30953
1997,109188.0992,6357.888292,115231.1682,108873.2799
1997,110380.1653,5734.878625,116115.0439,110380.1653
1997,85586.77686,5833.891374,91420.66823,85586.77686
1998,92945.45455,6259.296852,99204.7514,92945.45455
1998,88066.1157,5569.493515,93635.60922,88066.1157
1998,117302.4793,8068.095035,140244.6466,132176.5516
1998,124958.6777,11360.34143,135654.3751,124294.0337
1998,132138.843,14635.31564,145649.3764,131014.0608
1998,94942.80992,9254.6239,87356.88117,78102.25727
1998,68136.19835,7740.054064,73168.80633,65428.75227
1998,66452.2314,5273.335709,69269.97648,63996.64077
1998,65742.14876,5659.213845,70142.08536,64482.87151
1998,45026.77686,6212.081544,50924.03909,44711.95755
1998,92540.82645,6012.377608,98553.20405,92540.82645
1998,105738.843,6222.99312,111961.8361,105738.843
1999,71101.4876,6173.888229,77275.37583,71101.4876
1999,77698.5124,5930.293267,83628.80566,77698.5124
1999,108297.5207,7683.898103,130855.491,123171.5929
1999,92052.89256,11050.54364,102438.7922,91388.24855
1999,138287.6033,16291.06171,153453.8828,137162.8211
1999,114882.6446,12006.77951,110048.8715,98042.09198
1999,63020.82645,6299.349036,66612.7294,60313.38036
1999,65571.57025,4917.036802,68033.01642,63115.97962
1999,72019.83471,4904.014353,75664.57182,70760.55746
1999,77252.2314,5968.778439,82906.19053,76937.41209
1999,84892.56198,5877.774914,90770.3369,84892.56198
1999,73570.90909,6369.286297,79940.19539,73570.90909
2000,67096.8595,5774.79039,72871.64989,67096.8595
2000,54793.38843,5417.987453,60211.37588,54793.38843
2000,61993.38843,6204.387255,83071.84796,76867.46071
2000,47650.90909,9150.337554,56136.60263,46986.26508
2000,39625.78512,7317.923562,45818.92651,38501.00295
2000,43200,2302.5,45953,43650.5
2000,50469.42149,1787,50966,49179
2000,46962.64463,1578,47807,46229
2000,29220.49587,2137.66315,35537,33399.33685
2000,26981.15702,3582.185039,16691,13108.81496
2000,27540.49587,3803.37091,20643.83235,16840.46144
2000,25289.2562,3739.697863,29028.95406,25289.2562
2001,21354.04959,5586.591454,26940.64104,21354.04959
2001,22766.28099,7173.737976,29940.01897,22766.28099
2001,40976.52893,5955.728735,61806.32994,55850.6012
2001,29640.99174,2882,31858.34772,28976.34772
2001,28994.38017,2198.734963,34448,32249.26504
2001,47430.7438,483.1444642,45953,45469.85554
2001,52321.98347,462.6571,50966,50503.3429
2001,42378.84298,1502.141235,47807,46304.85877
2001,16625.45455,3056.979799,35537,32480.0202
2001,15671.40496,3038.585079,16691,13652.41492
2001,19215.86777,2716.188805,4576,1859.811195
2001,19271.40496,1801.693093,1801.693093,0
2002,20029.09091,4441.394362,21288.86749,16847.47313
2002,16462.80992,6833.141194,23295.95111,16462.80992
2002,25630.41322,5436.337479,45940.82298,40504.4855
2002,37404.29752,2255.530715,38995.18423,36739.65351
2002,20160,2708.714031,34448,31739.28597
2002,29686.61157,523.7611899,45953,45429.23881
2002,53869.09091,2151.344522,50966,48814.65548
2002,44830.41322,3192.38608,47807,44614.61392
2002,29170.90909,3301.280081,35537,32235.71992
2002,18021.81818,3159.794792,16691,13531.20521
2002,18674.38017,3103.790732,4576,1472.209268
2002,19812.89256,2630.091886,2630.091886,0
2003,19073.05785,5243.189605,21325.80561,16082.616
2003,23287.93388,7758.643147,31046.57703,23287.93388
2003,26614.21488,7065.528906,48553.81606,41488.28715
2003,20874.04959,2717.5,22926.90558,20209.40558
2003,9699.173554,1145.220237,34448,33302.77976
2003,36591.07438,2244.019423,45953,43708.98058
2003,41595.3719,2431.312732,47315.19663,44883.8839
2003,40456.8595,2917.08413,43226.20773,40309.1236
2003,25059.17355,2731.478495,27714.89005,24983.41155
2003,13739.50413,2398.294422,16118.85805,13720.56363
2003,18971.90083,2220.99228,4576,2355.00772
2003,20497.19008,1416.599513,1561,144.4004874
2004,16520.33058,5285.087257,7433.100538,2148.013281
2004,17529.91736,7747.041843,25276.9592,17529.91736
2004,37598.67769,5528.52586,58001.27582,52472.74996
2004,26620.16529,2726.5,28682.02128,25955.52128
2004,16089.91736,1171.989024,34448,33276.01098
2004,17904.79339,2225.208757,37060.36377,34835.15501
2004,31640.33058,2450.314527,33927.75681,31477.44228
2004,30071.40496,2800.787337,32724.4564,29923.66906
2004,12684.29752,2988.377258,15596.91278,12608.53552
2004,21502.80992,2710.286814,16691,13980.71319
2004,19063.1405,2468.093576,4576,2107.906424
2004,22312.06612,1409.594952,1561,151.4050485
2005,23248.26446,5235.48783,23760.80366,18525.31583
2005,21219.17355,11600.03686,32819.21041,21219.17355
2005,40659.17355,17161.22428,72694.47011,55533.24583
2005,74245.28926,9057.018342,82637.66359,73580.64525
2005,102466.1157,4215.24623,105556.5798,101341.3335
2005,68237.35537,3123,54519.80273,51396.80273
2005,28665.12397,2956.247854,50966,48009.75215
2005,30737.85124,4952.492835,47807,42854.50717
2005,23510.08264,4752.075471,35537,30784.92453
2005,26304.79339,4690.494065,16691,12000.50594
2005,25259.50413,3912.395965,4576,663.6040348
2005,28466.77686,3912.18518,78838.67553,74926.49035
