Volume,Hedging Percent,Firm Yield,Total Reliability,Total Resilience,Total Vulnerability,Total Shortage Cost
4000.000000,0.980000,295887.955986,80.000000,71.428571,4791.072617,97300895.037124
4000.000000,0.990000,295933.984616,80.000000,71.428571,4551.441233,96733715.202714
4000.000000,1.000000,295978.846601,85.714286,80.000000,8407.022099,96347184.798919
5000.000000,0.900000,297624.856836,80.000000,71.428571,6590.256541,103471466.654681
5000.000000,0.910000,297362.013848,80.000000,71.428571,6286.817651,103314957.326856
5000.000000,0.920000,297136.627071,80.000000,71.428571,6049.525345,101928311.127613
5000.000000,0.930000,296913.579407,80.000000,71.428571,5813.271225,100681907.567026
5000.000000,0.940000,296692.645607,80.000000,71.428571,5578.000258,99578176.372658
5000.000000,0.950000,296473.738336,80.000000,71.428571,5343.695902,98620909.492862
5000.000000,0.960000,296256.772590,80.000000,71.428571,5110.342129,97815172.990026
5000.000000,0.970000,296041.665661,80.000000,71.428571,4877.923415,97167950.380270
5000.000000,0.980000,295887.955986,80.000000,71.428571,4621.105680,96699674.335230
5000.000000,0.990000,295933.984616,80.000000,71.428571,4411.385402,96410054.692762
5000.000000,1.000000,295978.846601,85.714286,80.000000,8407.022099,96347184.798919
6000.000000,0.900000,297624.856836,80.000000,71.428571,6066.104006,98774496.106303
6000.000000,0.910000,297362.013848,80.000000,71.428571,5828.490456,97621073.369301
6000.000000,0.920000,297136.627071,80.000000,71.428571,5594.278624,96649354.959460
6000.000000,0.930000,296913.579407,80.000000,71.428571,5361.539671,95866526.204558
6000.000000,0.940000,296692.645607,80.000000,71.428571,5130.218433,95276725.184463
6000.000000,0.950000,296473.738336,80.000000,71.428571,4832.742090,94912904.112425
6000.000000,0.960000,296256.772590,80.000000,71.428571,4617.718017,94721264.993739
6000.000000,0.970000,296041.665661,80.000000,71.428571,4404.063181,94746244.996579
6000.000000,0.980000,295887.955986,80.000000,71.428571,4193.465834,95004031.318671
6000.000000,0.990000,295933.984616,80.000000,71.428571,3989.866171,95521901.031176
6000.000000,1.000000,295978.846601,85.714286,80.000000,8407.022099,96347184.798919
7000.000000,0.900000,297624.856836,77.142857,62.500000,5875.706491,99030206.635992
7000.000000,0.910000,297362.013848,77.142857,62.500000,5611.008086,97844052.323441
7000.000000,0.920000,297136.627071,77.142857,62.500000,5254.707571,96890759.952578
7000.000000,0.930000,296913.579407,77.142857,62.500000,5006.096765,96069461.093211
7000.000000,0.940000,296692.645607,77.142857,62.500000,4758.726460,95442808.455987
7000.000000,0.950000,296473.738336,77.142857,62.500000,4512.582071,95016754.857682
7000.000000,0.960000,296256.772590,77.142857,62.500000,4267.649459,94798965.992385
7000.000000,0.970000,296041.665661,77.142857,62.500000,4023.914929,94799702.200960
7000.000000,0.980000,295887.955986,77.142857,62.500000,3782.855702,95035587.729846
7000.000000,0.990000,295933.984616,77.142857,62.500000,3547.919448,95534716.916475
7000.000000,1.000000,295978.846601,85.714286,80.000000,8407.022099,96347184.798919
8000.000000,0.900000,297624.856836,74.285714,55.555556,5459.817582,100204069.102862
8000.000000,0.910000,297362.013848,74.285714,55.555556,5200.833375,98827823.698592
8000.000000,0.920000,297136.627071,74.285714,55.555556,4944.494948,97648239.809877
8000.000000,0.930000,296913.579407,74.285714,55.555556,4689.302093,96673110.500889
8000.000000,0.940000,296692.645607,74.285714,55.555556,4435.211906,95907297.245221
